,0,1
0,village1,61
1,BHATNA,86
2,Junawani,69
3,ward no 12,70
4,Ranigohan,67
5,Gorigaon,67
6,kondharkhapa,78
7,kharpadakhedi,78
8,Gondalwada,69
9,Koshkarpa,69
10,Keshla,69
11,Raghuwanshipura Sohagpur,67
12,Sonpur,67
13,Sarangpur,67
14,Beejakharı,67
15,Kamtı,67
16,Tekapar,67
17,Sehra,67
18,URDON,67
19,KHAPA,67
20,KHADPAWAD,67
21,NAYAGOAN,67
22,ward no 13,70
23,Banskhapa,67
24,pahanwarii,65
25,NAYAKHEDA,67
26,Jawahar Ward Sohagpur,67
27,Subhash Ward Sohagpur,67
28,Indra Ward Sohagpur,67
29,Kilapura Ward Sohagpur,67
30,Sardar Ward Sohagpur,67
31,Ramganj Ward Sohagpur,67
32,Matapura Ward Sohagpur,67
33,Rajendra Ward Sohagpur,67
34,Bodı,67
35,PATHAI,67
36,Langha Bamhorı,67
37,MAGARIYA,67
38,Aamdehı,67
39,Nıbhora,67
40,Dundadeh,67
41,Sıngwada,67
42,DHABA,67
43,RATAMATI,67
44,Dundakhapa,67
45,Kukra,67
46,SITIYAGOHNA,67
47,Chhedka,67
48,Jarran,67
49,ward no 14,70
50,Navalgaon,67
51,Dhapada,67
52,Rewabankhedi,67
53,Rewamuhari,67
54,Daringa,67
55,Madkadhana Banskhapa,67
56,Baniyakhedi,69
57,Bamhorikishore,69
58,Gundrai,69
59,Singpur,69
60,Fashidhana,69
61,Nayagaon,69
62,Dahalwadakhurd,69
63,Mahuakheda,69
64,Theekri,67
65,Berkhedi,69
66,bildhi,70
67,Ghoghrimatha,69
68,Maharajganj,69
69,Sodra,67
70,Kohani,67
71,Barbatpur,67
72,Chandikhedi,67
73,Paraswada,69
74,Bhairopur,69
75,Kalangwa,69
76,Dungariya,69
77,Bamhanwada,69
78,ward no. 15,89
79,ward no. 3,89
80,ward no. 30,89
81,ward no. 17,89
82,ward no. 23,89
83,ward no. 22,89
84,ward no. 4,89
85,Bothiya,84
86,Banoor,84
87,Datora,84
88,Dehgud,84
89,ward no. 20,89
90,Yenas,84
91,Pohari,84
92,Saikheda,84
93,ward no. 26,89
94,ward no. 10,89
95,ward no. 27,89
96,jhillai,70
97,luhariya khurd,70
98,surangi,70
99,Guramkhedi,67
100,Pathrai,67
101,Paraswada,67
102,Lakhanpur  isherpur,67
103,Jamuniya AW 01,67
104,PALADEVRI,67
105,Borna Mittha,67
106,Gujarkhedi,67
107,Borna Gujar,67
108,Dhana,67
109,Isherpur,67
110,Ritalkhapa,67
111,Gujarkhapa,67
112,Nagtra,67
113,Ajabgaon,67
114,Khapariya,67
115,Mudiyakheda,67
116,Madkadhana khiriyamandir,67
117,Katiya,67
118,Telsir,67
119,Barrangi,67
120,Pamli,67
121,KHADADEVRI,67
122,LAKHANPUR,67
123,Shobhapur AW 01,67
124,Nakatua,67
125,Talakhedi,67
126,Raipura,67
127,bhiladiya kala,70
128,rajora khurd,70
129,Mokalwadi,67
130,Akola,67
131,Bareli,67
132,Jhirmata,67
133,choutlai,70
134,Machha,67
135,Tighda,67
136,Chanderi,67
137,Bhoukhedikhurd,67
138,Niwari,67
139,Baraiyakhedi,67
140,Ranipipariya,67
141,gunoura,65
142,Kandrakhedi,65
143,Ajera,67
144,Bhanpur,67
145,Dikwada,67
146,Baikhedi,65
147,makdai,70
148,hathnapur,70
149,misrod,65
150,Ward 1,73
151,Ward 2,73
152,Ward 3,73
153,Sekakhedi,67
154,Bhatgaon,67
155,Sosarkheda,67
156,Gajnai,67
157,Sankala,67
158,Bhilariya,67
159,Parsai Pipariya,67
160,Gurari,67
161,Bhoukhedikalan,67
162,Khimara,67
163,Ward 4,73
164,Ward 5,73
165,Hirapur Janmitola,67
166,Karanpur,67
167,barandua,65
168,palanpur,65
169,sawalkheda,65
170,Mahuakheda kalan,67
171,Kajalkhedi,67
172,Ghoorkhedi,67
173,new_db_village,61
174,mahragaon,65
175,Kurshidhana,69
176,Poudi,69
177,Ward 13,73
178,Ward 19,73
179,Ward 17,73
180,Ward 26,73
181,Ward 10,73
182,Ward 11,73
183,Ward 12,73
184,Ward 18,73
185,Ward 22,73
186,Ward 20,73
187,Ward 21,73
188,Ward 23,73
189,Ward 24,73
190,Ward 25,73
191,Chhater,69
192,Ward 27,73
193,Ward 28,73
194,Ward 29,73
195,Ward 30,73
196,Ward 31,73
197,Ward 32,73
198,Ward 33,73
199,GHANDHI WARD SOHAGPUR,67
200,Tilak Ward Sohagpur,67
201,KHAPA,71
202,Manakwada,67
203,Samnapur,69
204,BICHUA,67
205,Sıyarkheda,67
206,Shastri Ward Sohagpur,67
207,Goutam Ward Sohagpur,67
208,Ramprasad Ward Sohagpur,67
209,Ambedkar Ward Sohagpur,67
210,Ajneri,67
211,Beganiya,67
212,Bhatti,67
213,Barwani,67
214,Bamari,67
215,Baruadhana,67
216,Kalmesra,67
217,Gopalpur,67
218,Kishanpur,67
219,Semri AW 01,67
220,Semri AW 03,67
221,Semri AW 02,67
222,Semri AW 04,67
223,Semri AW 05,67
224,Semri AW 06,67
225,Sarangpur,75
226,GHOGHRI,67
227,Keoları,67
228,Rangpur,67
229,Kajri,67
230,Utiyashankar,67
231,jhadbida,76
232,jhadbida,70
233,kajli,78
234,sonali bundala,78
235,devgaon,78
236,dhousra,78
237,khidakikhurd,78
238,khanapur,78
239,kedarkheda,78
240,guwadi,70
241,palasi,65
242,khedi,70
243,undrakhedi,65
244,nitaya,65
245,tarondadhana,65
246,dhoukheda,65
247,tararoda,65
248,saket,65
249,ridhouda,65
250,makodiya,70
251,jhagar,70
252,pipalber,70
253,chillai,65
254,gurra,65
255,bamhangaon kala,65
256,aonri,65
